Mińsk Mazowiecki,miński,mazowieckie,"13,18",39 668,3010
Mirosławiec,wałecki,zachodniopomorskie,"2,13",3072,1442
Mirsk,lwówecki,dolnośląskie,"14,66",4109,280
Mława,mławski,mazowieckie,"34,80",30 969,890
Młynary,elbląski,warmińsko-mazurskie,"2,76",1848,670
Mogielnica,grójecki,mazowieckie,"12,98",2417,186
Mogilno,mogileński,kujawsko-pomorskie,"8,32",12 466,1498
Mońki,moniecki,podlaskie,"7,66",10 396,1357
Morąg,ostródzki,warmińsko-mazurskie,"6,11",14 458,2366
Mordy,siedlecki,mazowieckie,"4,54",1833,404
Moryń,gryfiński,zachodniopomorskie,"5,54",1631,294
Mosina,poznański,wielkopolskie,"13,50",12 941,959
Mrągowo,mrągowski,warmińsko-mazurskie,"14,81",22 251,1502
Mrocza,nakielski,kujawsko-pomorskie,"5,01",4390,876
Mszana Dolna,limanowski,małopolskie,"27,10",7876,291
